"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 07 08:26:25 GMT 2022","Tue Jun 07 08:26:38 GMT 2022","13262","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_03","Adatkezelési nyilatkozat használata"
"passed","Tue Jun 07 08:26:05 GMT 2022","Tue Jun 07 08:26:14 GMT 2022","8819","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_02","Bejelentkezés"
"passed","Tue Jun 07 08:27:08 GMT 2022","Tue Jun 07 08:27:15 GMT 2022","6881","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_05","Több oldalas lista bejárása"
"passed","Tue Jun 07 08:25:24 GMT 2022","Tue Jun 07 08:25:55 GMT 2022","30964","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_01","Regisztráció"
"passed","Tue Jun 07 08:29:29 GMT 2022","Tue Jun 07 08:29:41 GMT 2022","11886","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_08","Meglévő adat módosítás"
"passed","Tue Jun 07 08:30:38 GMT 2022","Tue Jun 07 08:31:13 GMT 2022","34909","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_11","Kijelentkezés"
"passed","Tue Jun 07 08:27:26 GMT 2022","Tue Jun 07 08:27:37 GMT 2022","10823","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_06","Új adat bevitel"
"passed","Tue Jun 07 08:27:47 GMT 2022","Tue Jun 07 08:29:19 GMT 2022","91696","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_07","Ismételt és sorozatos adatbevitel adatforrásból"
"passed","Tue Jun 07 08:30:20 GMT 2022","Tue Jun 07 08:30:27 GMT 2022","7484","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_10","Adatok lementése felületről"
"passed","Tue Jun 07 08:29:52 GMT 2022","Tue Jun 07 08:30:09 GMT 2022","17383","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_09","Adat vagy adatok törlése"
"passed","Tue Jun 07 08:26:50 GMT 2022","Tue Jun 07 08:26:58 GMT 2022","8153","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_04","Adatok listázása"
