"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 17 14:09:18 GMT 2022","Fri Jun 17 14:09:27 GMT 2022","8956","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_02","Bejelentkezés"
"passed","Fri Jun 17 14:08:36 GMT 2022","Fri Jun 17 14:09:07 GMT 2022","31251","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_01","Regisztráció"
"passed","Fri Jun 17 14:11:00 GMT 2022","Fri Jun 17 14:12:37 GMT 2022","97102","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_07","Ismételt és sorozatos adatbevitel adatforrásból"
"passed","Fri Jun 17 14:10:38 GMT 2022","Fri Jun 17 14:10:49 GMT 2022","11031","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_06","Új adat bevitel"
"passed","Fri Jun 17 14:09:37 GMT 2022","Fri Jun 17 14:09:51 GMT 2022","13315","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_03","Adatkezelési nyilatkozat használata"
"passed","Fri Jun 17 14:10:21 GMT 2022","Fri Jun 17 14:10:28 GMT 2022","6842","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_05","Több oldalas lista bejárása"
"passed","Fri Jun 17 14:13:39 GMT 2022","Fri Jun 17 14:13:47 GMT 2022","8126","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_10","Adatok lementése felületről"
"passed","Fri Jun 17 14:13:58 GMT 2022","Fri Jun 17 14:14:33 GMT 2022","35105","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_11","Kijelentkezés"
"passed","Fri Jun 17 14:13:11 GMT 2022","Fri Jun 17 14:13:28 GMT 2022","17726","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_09","Adat vagy adatok törlése"
"passed","Fri Jun 17 14:10:02 GMT 2022","Fri Jun 17 14:10:10 GMT 2022","8126","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_04","Adatok listázása"
"passed","Fri Jun 17 14:12:48 GMT 2022","Fri Jun 17 14:13:00 GMT 2022","12166","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_08","Meglévő adat módosítás"
