"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 10 09:08:16 GMT 2022","Fri Jun 10 09:08:24 GMT 2022","8245","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_04","Adatok listázása"
"passed","Fri Jun 10 09:08:53 GMT 2022","Fri Jun 10 09:09:04 GMT 2022","11026","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_06","Új adat bevitel"
"passed","Fri Jun 10 09:11:53 GMT 2022","Fri Jun 10 09:12:00 GMT 2022","7666","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_10","Adatok lementése felületről"
"passed","Fri Jun 10 09:11:24 GMT 2022","Fri Jun 10 09:11:42 GMT 2022","17856","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_09","Adat vagy adatok törlése"
"passed","Fri Jun 10 09:11:01 GMT 2022","Fri Jun 10 09:11:13 GMT 2022","12130","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_08","Meglévő adat módosítás"
"passed","Fri Jun 10 09:08:35 GMT 2022","Fri Jun 10 09:08:42 GMT 2022","6974","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_05","Több oldalas lista bejárása"
"passed","Fri Jun 10 09:06:50 GMT 2022","Fri Jun 10 09:07:21 GMT 2022","31100","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_01","Regisztráció"
"passed","Fri Jun 10 09:07:52 GMT 2022","Fri Jun 10 09:08:05 GMT 2022","13285","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_03","Adatkezelési nyilatkozat használata"
"passed","Fri Jun 10 09:12:11 GMT 2022","Fri Jun 10 09:12:46 GMT 2022","35001","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_11","Kijelentkezés"
"passed","Fri Jun 10 09:09:14 GMT 2022","Fri Jun 10 09:10:50 GMT 2022","95716","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_07","Ismételt és sorozatos adatbevitel adatforrásból"
"passed","Fri Jun 10 09:07:32 GMT 2022","Fri Jun 10 09:07:41 GMT 2022","8874","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_02","Bejelentkezés"
