"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 13:01:52 GMT 2022","Wed Jun 29 13:02:05 GMT 2022","13216","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_03","Adatkezelési nyilatkozat használata"
"passed","Wed Jun 29 13:01:33 GMT 2022","Wed Jun 29 13:01:41 GMT 2022","8799","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_02","Bejelentkezés"
"passed","Wed Jun 29 13:05:46 GMT 2022","Wed Jun 29 13:05:53 GMT 2022","7324","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_10","Adatok lementése felületről"
"passed","Wed Jun 29 13:02:16 GMT 2022","Wed Jun 29 13:02:24 GMT 2022","8133","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_04","Adatok listázása"
"passed","Wed Jun 29 13:02:52 GMT 2022","Wed Jun 29 13:03:03 GMT 2022","10749","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_06","Új adat bevitel"
"passed","Wed Jun 29 13:00:51 GMT 2022","Wed Jun 29 13:01:22 GMT 2022","30841","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_01","Regisztráció"
"passed","Wed Jun 29 13:04:55 GMT 2022","Wed Jun 29 13:05:07 GMT 2022","11916","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_08","Meglévő adat módosítás"
"passed","Wed Jun 29 13:05:18 GMT 2022","Wed Jun 29 13:05:35 GMT 2022","17370","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_09","Adat vagy adatok törlése"
"passed","Wed Jun 29 13:02:34 GMT 2022","Wed Jun 29 13:02:41 GMT 2022","6892","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_05","Több oldalas lista bejárása"
"passed","Wed Jun 29 13:03:13 GMT 2022","Wed Jun 29 13:04:45 GMT 2022","91545","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_07","Ismételt és sorozatos adatbevitel adatforrásból"
"passed","Wed Jun 29 13:06:04 GMT 2022","Wed Jun 29 13:06:39 GMT 2022","34894","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_11","Kijelentkezés"
