"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 06 15:01:11 GMT 2022","Mon Jun 06 15:01:22 GMT 2022","10664","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_06","Új adat bevitel"
"passed","Mon Jun 06 15:00:35 GMT 2022","Mon Jun 06 15:00:43 GMT 2022","8113","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_04","Adatok listázása"
"passed","Mon Jun 06 15:01:32 GMT 2022","Mon Jun 06 15:03:02 GMT 2022","89506","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_07","Ismételt és sorozatos adatbevitel adatforrásból"
"passed","Mon Jun 06 14:59:52 GMT 2022","Mon Jun 06 15:00:00 GMT 2022","8768","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_02","Bejelentkezés"
"passed","Mon Jun 06 14:59:10 GMT 2022","Mon Jun 06 14:59:41 GMT 2022","30783","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_01","Regisztráció"
"passed","Mon Jun 06 15:04:21 GMT 2022","Mon Jun 06 15:04:55 GMT 2022","34873","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_11","Kijelentkezés"
"passed","Mon Jun 06 15:00:53 GMT 2022","Mon Jun 06 15:01:00 GMT 2022","6840","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_05","Több oldalas lista bejárása"
"passed","Mon Jun 06 15:03:12 GMT 2022","Mon Jun 06 15:03:24 GMT 2022","11729","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_08","Meglévő adat módosítás"
"passed","Mon Jun 06 15:03:35 GMT 2022","Mon Jun 06 15:03:52 GMT 2022","17448","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_09","Adat vagy adatok törlése"
"passed","Mon Jun 06 15:04:03 GMT 2022","Mon Jun 06 15:04:10 GMT 2022","7248","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_10","Adatok lementése felületről"
"passed","Mon Jun 06 15:00:11 GMT 2022","Mon Jun 06 15:00:24 GMT 2022","13246","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_03","Adatkezelési nyilatkozat használata"
