"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 18 19:17:57 GMT 2022","Sat Jun 18 19:18:10 GMT 2022","13264","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_03","Adatkezelési nyilatkozat használata"
"passed","Sat Jun 18 19:19:19 GMT 2022","Sat Jun 18 19:20:50 GMT 2022","90786","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_07","Ismételt és sorozatos adatbevitel adatforrásból"
"passed","Sat Jun 18 19:21:01 GMT 2022","Sat Jun 18 19:21:12 GMT 2022","11778","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_08","Meglévő adat módosítás"
"passed","Sat Jun 18 19:16:56 GMT 2022","Sat Jun 18 19:17:27 GMT 2022","30826","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_01","Regisztráció"
"passed","Sat Jun 18 19:18:58 GMT 2022","Sat Jun 18 19:19:09 GMT 2022","10706","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_06","Új adat bevitel"
"passed","Sat Jun 18 19:18:22 GMT 2022","Sat Jun 18 19:18:30 GMT 2022","8098","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_04","Adatok listázása"
"passed","Sat Jun 18 19:21:23 GMT 2022","Sat Jun 18 19:21:40 GMT 2022","17292","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_09","Adat vagy adatok törlése"
"passed","Sat Jun 18 19:18:40 GMT 2022","Sat Jun 18 19:18:47 GMT 2022","6850","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_05","Több oldalas lista bejárása"
"passed","Sat Jun 18 19:17:38 GMT 2022","Sat Jun 18 19:17:46 GMT 2022","8788","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_02","Bejelentkezés"
"passed","Sat Jun 18 19:21:51 GMT 2022","Sat Jun 18 19:21:58 GMT 2022","7292","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_10","Adatok lementése felületről"
"passed","Sat Jun 18 19:22:09 GMT 2022","Sat Jun 18 19:22:44 GMT 2022","34886","test_conduit.tests","test_cases_11","TestConduit","","","test_tc_11","Kijelentkezés"
